pequena_100,media_1000,grande_10000,muito_grande_50000
,99331.0,92749.0,60297
,78297.0,13683.0,5220
,91783.0,87655.0,79492
,17209.0,16724.0,67725
,77725.0,14630.0,22450
,69919.0,68573.0,75611
,8312.0,96583.0,82732
,85334.0,94905.0,88341
,86053.0,72286.0,83024
,44753.0,24890.0,76089
,44285.0,94344.0,1217
,33059.0,98965.0,15347
,34967.0,52269.0,39254
,97208.0,84570.0,39609
,61848.0,85616.0,58192
,72839.0,79139.0,52050
,14763.0,44645.0,40568
,89248.0,64503.0,52003
,39437.0,40884.0,58194
,26726.0,72127.0,31528
,21816.0,93645.0,73781
,50558.0,89185.0,10210
,2956.0,49448.0,42480
,34482.0,53625.0,49392
,41750.0,5060.0,51143
,31521.0,53788.0,3068
,56970.0,4129.0,30254
,57686.0,51717.0,21166
,13761.0,16017.0,71313
,98755.0,31411.0,22825
,23816.0,54073.0,52657
,24011.0,28120.0,39026
,83566.0,22857.0,72074
,98089.0,74421.0,77031
,88869.0,3837.0,60948
,1592.0,84033.0,16650
,41830.0,31095.0,10809
,26123.0,40236.0,30803
,80833.0,91312.0,61988
,62071.0,5016.0,80683
,59466.0,80471.0,24663
,90223.0,55458.0,20160
,52314.0,18508.0,74092
,52249.0,21666.0,78284
,37433.0,91698.0,67262
,4701.0,30092.0,23232
,96780.0,14263.0,31385
,20462.0,18151.0,71750
,64561.0,80225.0,53916
,80187.0,70572.0,45599
,19945.0,81234.0,13610
,40592.0,38405.0,50398
,970.0,86448.0,87939
,40585.0,81348.0,71663
,69336.0,69940.0,54494
,72276.0,91233.0,87412
,10038.0,1374.0,12231
,47190.0,57104.0,14000
,16883.0,53995.0,53604
,16431.0,87153.0,51456
,42688.0,32517.0,88468
,6098.0,93045.0,66830
,45115.0,50893.0,87106
,79736.0,46662.0,61396
,35787.0,58196.0,2479
,43014.0,94377.0,46661
,20288.0,28181.0,35366
,62067.0,57245.0,39456
,77709.0,23096.0,28289
,47077.0,17101.0,57672
,48676.0,64457.0,38368
,10115.0,84696.0,30097
,46226.0,32295.0,60887
,62197.0,80443.0,4657
,76936.0,88861.0,43064
,58292.0,85739.0,58204
,67993.0,56768.0,69577
,98338.0,35485.0,80815
,74906.0,5717.0,37847
,76460.0,25005.0,5136
,30852.0,79421.0,63102
,42580.0,16185.0,61564
,29204.0,15681.0,48245
,81110.0,3231.0,41964
,24045.0,40883.0,57130
,82722.0,30135.0,64453
,93939.0,41627.0,27215
,31202.0,48725.0,21863
,49221.0,97438.0,36735
,79667.0,57685.0,86996
,63263.0,83247.0,28552
,34372.0,74521.0,82904
,86891.0,78212.0,5874
,64734.0,14031.0,1427
,47149.0,16770.0,73504
,95817.0,50204.0,31249
,89688.0,91676.0,41870
,19790.0,496.0,43917
,34577.0,7774.0,72775
,19168.0,95799.0,78127
,20312.0,99467.0,19543
,64908.0,45878.0,25686
,4987.0,24149.0,76236
,68491.0,33151.0,80727
,457.0,96388.0,91056
,79657.0,43513.0,33917
,55608.0,4467.0,12319
,8820.0,65909.0,3872
,66754.0,4088.0,11403
,50875.0,60567.0,83676
,87642.0,46799.0,56725
,73541.0,79849.0,67201
,4035.0,10627.0,71738
,6525.0,85583.0,62996
,85258.0,57193.0,89499
,44821.0,3241.0,33695
,8599.0,96481.0,26735
,76950.0,12646.0,62937
,76616.0,28590.0,68569
,11543.0,5102.0,24835
,35633.0,93760.0,45484
,80524.0,74101.0,14410
,73462.0,67745.0,27845
,73278.0,78076.0,31683
,61046.0,6605.0,3665
,79813.0,57851.0,68938
,66210.0,66256.0,65454
,39026.0,203.0,19958
,35333.0,1905.0,80106
,36705.0,39427.0,9317
,27877.0,98804.0,14698
,63854.0,58521.0,9213
,46164.0,94977.0,96413
,40240.0,33086.0,78176
,49712.0,96031.0,79098
,24270.0,7833.0,92461
,11660.0,81010.0,9108
,93947.0,19305.0,66557
,53177.0,39390.0,79349
,20151.0,52097.0,88838
,26446.0,5970.0,24443
,18532.0,69727.0,53964
,44747.0,39549.0,45005
,53928.0,79941.0,4867
,12186.0,73211.0,94968
,53328.0,28395.0,19509
,83773.0,34594.0,12129
,98264.0,75677.0,68443
,64783.0,99218.0,91849
,38251.0,81622.0,85239
,16541.0,76337.0,51250
,93052.0,17182.0,76189
,96870.0,87071.0,95868
,60630.0,32292.0,54540
,60975.0,23412.0,22492
,69097.0,55229.0,12158
,57060.0,1013.0,60149
,59158.0,53426.0,38974
,46246.0,26670.0,41766
,75475.0,23579.0,81465
,40208.0,97320.0,39528
,42812.0,61340.0,68287
,64571.0,25224.0,49080
,74031.0,86938.0,85922
,87061.0,44739.0,87051
,26563.0,24681.0,12492
,55786.0,48213.0,70135
,57446.0,5131.0,47934
,56270.0,40772.0,57840
,46540.0,84981.0,4013
,64307.0,10849.0,53133
,30333.0,13011.0,7779
,83214.0,45862.0,46661
,32017.0,83214.0,73138
,62595.0,9899.0,1694
,80926.0,44756.0,9423
,78599.0,186.0,20760
,82584.0,64059.0,70405
,3198.0,63090.0,19191
,86486.0,84458.0,72132
,12784.0,49316.0,2540
,45689.0,57080.0,23495
,4632.0,33021.0,12061
,10983.0,71107.0,39105
,30302.0,94995.0,66850
,34487.0,86310.0,93695
,49520.0,94423.0,66886
,42833.0,84222.0,35756
,3578.0,53032.0,50148
,90214.0,38721.0,48331
,60793.0,73577.0,24327
,98177.0,19080.0,39538
,91442.0,90918.0,84639
,99982.0,49583.0,45202
,33011.0,63539.0,76953
,1075.0,70172.0,56709
,14584.0,84962.0,10839
,38974.0,44315.0,30255
,72816.0,98756.0,86568
,95547.0,11522.0,91537
,62384.0,52781.0,16777
,44633.0,37192.0,97305
,35648.0,1899.0,35489
,28513.0,36824.0,19187
,46792.0,94831.0,57357
,73106.0,29459.0,48648
,62449.0,13669.0,82640
,97346.0,65200.0,16183
,58440.0,61274.0,62549
,85192.0,80431.0,47046
,10807.0,44498.0,85035
,62464.0,52592.0,62175
,86747.0,32017.0,89097
,25437.0,13391.0,39704
,24352.0,15701.0,11953
,30061.0,81201.0,49030
,22247.0,98798.0,87643
,78181.0,80613.0,93571
,66810.0,63994.0,93508
,65736.0,32208.0,19381
,31217.0,11526.0,46871
,11910.0,31508.0,57000
,95095.0,94246.0,63055
,60483.0,17134.0,79459
,66982.0,93782.0,63604
,43155.0,38014.0,49086
,95069.0,73360.0,35832
,82374.0,74751.0,56922
,62581.0,90345.0,66985
,63212.0,54328.0,31747
,68313.0,6338.0,2049
,28438.0,82234.0,92772
,66424.0,29254.0,54765
,83763.0,20453.0,14879
,74553.0,30576.0,7203
,69563.0,57928.0,36701
,90434.0,58743.0,17931
,16315.0,42281.0,11892
,12541.0,93236.0,45733
,84367.0,69152.0,76184
,41376.0,48521.0,3310
,94146.0,41934.0,65887
,77431.0,31938.0,80654
,24282.0,83757.0,17574
,34657.0,23746.0,3422
,15825.0,23901.0,77198
,14134.0,46849.0,19023
,73139.0,85996.0,37428
,49020.0,41345.0,95297
,23817.0,77663.0,94949
,53904.0,7883.0,59556
,12930.0,28627.0,78031
,18053.0,95661.0,51701
,77921.0,34213.0,5673
,55728.0,8853.0,50027
,20547.0,50050.0,1484
,75034.0,86389.0,35204
,78571.0,84546.0,95165
,35163.0,20864.0,90656
,94623.0,8930.0,40858
,31232.0,36746.0,33567
,26142.0,43817.0,44707
,28976.0,79245.0,11534
,79189.0,40229.0,37742
,75427.0,63213.0,61725
,63610.0,59405.0,69185
,80560.0,78146.0,15549
,22822.0,57963.0,78625
,1382.0,37476.0,30152
,49668.0,70703.0,15364
,303.0,10589.0,12749
,80613.0,5463.0,66876
,68814.0,14538.0,86974
,51138.0,26908.0,22194
,15282.0,63862.0,67777
,31591.0,28615.0,47208
,30098.0,99457.0,24359
,79155.0,80397.0,36737
,33784.0,64475.0,69663
,81279.0,95583.0,59677
,80743.0,15750.0,93862
,65581.0,72595.0,21087
,88689.0,23039.0,92065
,93915.0,14150.0,15617
,16804.0,45747.0,25245
,39625.0,74294.0,78888
,15282.0,95494.0,69987
,81690.0,44590.0,46546
,49642.0,32031.0,69762
,27367.0,89326.0,30823
,13685.0,30020.0,28030
,64847.0,5332.0,94162
,12427.0,54209.0,63072
,38019.0,14812.0,83696
,28239.0,9193.0,37935
,84443.0,21413.0,84595
,46501.0,66390.0,60426
,43664.0,30753.0,82345
,95879.0,24360.0,14071
,21848.0,12780.0,46274
,31907.0,38826.0,21308
,9763.0,3082.0,66872
,32970.0,91264.0,46496
,4426.0,74206.0,55581
,51077.0,49191.0,81815
,67405.0,9662.0,10192
,75603.0,45324.0,33975
,73371.0,73095.0,18833
,56763.0,80218.0,1329
,73906.0,43759.0,89908
,42455.0,38955.0,85444
,27552.0,88054.0,6007
,40459.0,96789.0,97958
,684.0,30842.0,71247
,17758.0,68789.0,57240
,87377.0,87230.0,88703
,46510.0,81236.0,39468
,19341.0,70606.0,40853
,15024.0,58698.0,52577
,13540.0,15520.0,9057
,91312.0,85838.0,12891
,19951.0,81432.0,45653
,31610.0,43167.0,40865
,72336.0,67335.0,89365
,75948.0,56421.0,7189
,25732.0,80884.0,55492
,46070.0,55469.0,82962
,32715.0,4314.0,58204
,34039.0,71901.0,37767
,72162.0,15481.0,80841
,1547.0,48608.0,95382
,41917.0,3723.0,45375
,33811.0,71157.0,99764
,48250.0,66717.0,12294
,54489.0,56687.0,659
,81668.0,18277.0,88972
,49393.0,39978.0,35578
,79624.0,68485.0,12289
,62337.0,67163.0,66552
,35857.0,53493.0,91585
,77504.0,58699.0,63015
,22785.0,50840.0,39985
,6702.0,26674.0,79241
,15268.0,3453.0,13116
,52150.0,73353.0,51396
,14421.0,81729.0,88448
,26635.0,39767.0,23704
,87870.0,49767.0,92972
,51428.0,29898.0,5963
,49577.0,61677.0,70334
,81488.0,34724.0,62332
,92911.0,33317.0,92152
,11366.0,9818.0,70294
,26945.0,12317.0,45207
,43447.0,91282.0,12148
,36447.0,86321.0,65031
,97110.0,68590.0,65050
,77133.0,31448.0,64050
,75731.0,14193.0,15316
,92164.0,48188.0,51349
,11470.0,74026.0,61439
,41037.0,6087.0,56996
,96956.0,27570.0,60240
,98478.0,55214.0,91018
,22868.0,67752.0,84259
,64193.0,35760.0,70542
,7549.0,20167.0,51780
,99103.0,51963.0,36258
,50293.0,50479.0,75243
,80351.0,821.0,33776
,63153.0,49226.0,77291
,94773.0,87712.0,22017
,98283.0,43981.0,78980
,80146.0,8344.0,74853
,41653.0,1335.0,14426
,73604.0,32372.0,62556
,7796.0,4235.0,61208
,8588.0,24369.0,70626
,83855.0,239.0,70072
,74553.0,11718.0,73300
,83431.0,36542.0,43960
,15889.0,86142.0,85819
,65631.0,85035.0,31107
,79689.0,73086.0,21007
,49649.0,77515.0,78439
,45674.0,13822.0,88101
,3550.0,71276.0,55380
,10958.0,27261.0,79316
,36975.0,7742.0,4032
,7862.0,57245.0,11770
,51453.0,92986.0,91204
,51410.0,54434.0,91187
,18033.0,81067.0,56126
,28616.0,13974.0,37591
,66661.0,90426.0,2962
,68880.0,23764.0,80245
,37764.0,14557.0,31147
,90021.0,8954.0,95320
,14470.0,39311.0,26813
,38735.0,28466.0,3812
,88538.0,91351.0,22577
,32268.0,58412.0,55436
,93258.0,90.0,95416
,84714.0,43790.0,51333
,1325.0,11806.0,95448
,40631.0,53945.0,96670
,57299.0,38953.0,62811
,8348.0,52540.0,31642
,17391.0,1360.0,55348
,48950.0,30749.0,53729
,41211.0,73469.0,87942
,22151.0,54412.0,2337
,91774.0,99684.0,31276
,49865.0,77901.0,42136
,50868.0,76528.0,31084
,62952.0,35263.0,52706
,66719.0,93499.0,68791
,80244.0,16226.0,2003
,98241.0,95162.0,77775
,39813.0,97835.0,89372
,67092.0,45136.0,64750
,3277.0,69493.0,13786
,59137.0,29336.0,93022
,80973.0,36537.0,42182
,76712.0,94214.0,68560
,380.0,59818.0,68709
,90220.0,30458.0,22437
,12756.0,869.0,61668
,21845.0,8751.0,27660
,53789.0,64657.0,1167
,72964.0,61241.0,69177
,3850.0,10358.0,82039
,4804.0,29088.0,78292
,1464.0,18309.0,39497
,2305.0,89806.0,30393
,45984.0,51134.0,905
,13943.0,23017.0,63134
,53747.0,34665.0,44162
,35469.0,41074.0,7453
,80665.0,7458.0,52685
,41553.0,14690.0,6505
,18071.0,94773.0,41279
,44013.0,57231.0,45956
,94756.0,34064.0,40274
,116.0,53522.0,55026
,97021.0,34600.0,67681
,61105.0,37288.0,88104
,39220.0,9674.0,98007
,58760.0,42589.0,66190
,1191.0,37303.0,1622
,4707.0,35483.0,43506
,1587.0,87463.0,8456
,93126.0,53232.0,5080
,92178.0,33088.0,72542
,94111.0,63992.0,19081
,85745.0,95269.0,62970
,52674.0,75183.0,18566
,17389.0,41054.0,40604
,47404.0,1640.0,98603
,98994.0,80900.0,5069
,53078.0,34738.0,3206
,57556.0,39338.0,28920
,78070.0,67663.0,78296
,35015.0,4688.0,52763
,85709.0,86673.0,30109
,80317.0,81878.0,10546
,45016.0,433.0,11735
,55085.0,68019.0,53015
,92141.0,10756.0,41304
,65667.0,79516.0,67172
,16445.0,38827.0,25806
,11741.0,19323.0,80799
,446.0,20473.0,54080
,49295.0,20142.0,59407
,21299.0,87005.0,98285
,37040.0,52750.0,51129
,19396.0,68074.0,72007
,95830.0,16513.0,63139
,28414.0,69430.0,21012
,49577.0,510.0,50079
,54699.0,58462.0,26577
,71822.0,92183.0,13698
,44705.0,70323.0,60643
,9305.0,34987.0,83782
,38491.0,16818.0,31314
,77135.0,54339.0,74707
,59907.0,56324.0,11934
,92322.0,95748.0,91676
,90589.0,33260.0,29654
,73975.0,16400.0,67722
,38508.0,16500.0,69877
,43177.0,47565.0,95355
,53952.0,48444.0,38353
,54853.0,32402.0,99768
,8004.0,24893.0,84128
,39240.0,37788.0,94775
,89199.0,64454.0,16779
,25639.0,29878.0,8140
,45329.0,57436.0,35669
,6939.0,40778.0,24586
,96296.0,37537.0,11288
,56101.0,22962.0,81387
,45319.0,49307.0,7072
,20887.0,50579.0,104
,75648.0,97571.0,63748
,26616.0,23800.0,43718
,82685.0,97922.0,84433
,38842.0,25286.0,90135
,87726.0,58420.0,86019
,3880.0,3304.0,37338
,88189.0,53761.0,3426
,34386.0,10850.0,48493
,49274.0,75370.0,36117
,24993.0,53053.0,54727
,75208.0,12354.0,47693
,59149.0,79021.0,58443
,52206.0,16811.0,42951
,94435.0,35595.0,74452
,40822.0,61063.0,68258
,73543.0,97376.0,61281
,7120.0,66943.0,33368
,93530.0,37904.0,43354
,82417.0,15650.0,42192
,35525.0,14124.0,27647
,85175.0,72560.0,29193
,71147.0,23179.0,89538
,10518.0,57299.0,30169
,40525.0,33569.0,70250
,27178.0,94479.0,58934
,99519.0,93398.0,57012
,36377.0,74102.0,43993
,28215.0,20442.0,95395
,85065.0,33206.0,17769
,82246.0,28158.0,2492
,11330.0,41408.0,88665
,85831.0,93387.0,69949
,54793.0,51604.0,30137
,8042.0,88580.0,238
,24604.0,36137.0,40291
,72195.0,73141.0,95
,96723.0,11114.0,854
,97124.0,14233.0,95723
,93194.0,16500.0,98755
,31578.0,16999.0,2183
,3529.0,87552.0,13620
,68817.0,16785.0,92099
,76073.0,65207.0,92362
,17300.0,49402.0,82386
,99500.0,11638.0,67746
,97328.0,55897.0,87125
,96844.0,30176.0,12454
,49589.0,48279.0,33150
,25730.0,35269.0,21457
,51981.0,23216.0,94005
,28472.0,98786.0,89047
,53945.0,75044.0,21037
,60974.0,66304.0,34497
,99924.0,70936.0,91138
,91805.0,51945.0,49281
,77112.0,87575.0,82039
,43258.0,44811.0,6265
,64014.0,29943.0,65401
,75989.0,23117.0,89272
,45282.0,58457.0,75034
,84013.0,92939.0,35901
,71629.0,27199.0,29402
,27153.0,72729.0,61096
,56286.0,53430.0,58905
,71279.0,51860.0,39476
,51944.0,29973.0,90679
,70887.0,45334.0,18739
,42350.0,86248.0,51821
,61957.0,42813.0,67452
,794.0,27651.0,63085
,69828.0,75316.0,27004
,7825.0,54894.0,2184
,85702.0,66966.0,87769
,77644.0,68717.0,77339
,46414.0,15962.0,90861
,41398.0,14515.0,72960
,56779.0,56058.0,15430
,59376.0,76300.0,10579
,64852.0,82793.0,80448
,40869.0,99469.0,81067
,93937.0,61309.0,44259
,24601.0,48407.0,20831
,57825.0,27881.0,71371
,81467.0,9242.0,24501
,25508.0,34296.0,30639
,80252.0,7333.0,91126
,16873.0,25354.0,79665
,88346.0,47627.0,24417
,10724.0,79973.0,83273
,65148.0,56736.0,82074
,24781.0,35628.0,39040
,84593.0,57314.0,65518
,44586.0,48073.0,74704
,58699.0,90838.0,40011
,92525.0,39332.0,79105
,74213.0,23494.0,454
,37335.0,71243.0,9875
,66736.0,77671.0,49135
,44907.0,49460.0,52716
,89267.0,40373.0,34096
,57301.0,199.0,79937
,40770.0,67198.0,5645
,29138.0,80672.0,64810
,17353.0,48248.0,34581
,2950.0,34709.0,87803
,59221.0,84852.0,21825
,44981.0,67400.0,50045
,18387.0,67913.0,7424
,90003.0,51938.0,72712
,52898.0,27582.0,17359
,72608.0,17460.0,20788
,40012.0,92637.0,22483
,51594.0,73393.0,83348
,68203.0,94465.0,32283
,97341.0,16878.0,66692
,10033.0,40897.0,86754
,33613.0,66433.0,94098
,62645.0,62945.0,60246
,77582.0,6962.0,11780
,13570.0,78847.0,77211
,96199.0,88806.0,64217
,72287.0,96560.0,31805
,75209.0,21431.0,53290
,64859.0,97318.0,38629
,76380.0,633.0,35481
,27362.0,52692.0,79342
,92768.0,26988.0,4923
,13464.0,89680.0,41040
,96452.0,39517.0,70491
,77978.0,36621.0,2713
,62782.0,6510.0,78702
,70426.0,80484.0,5791
,95929.0,45652.0,15292
,69221.0,72205.0,43922
,84565.0,15825.0,41874
,58228.0,39109.0,90217
,65992.0,37777.0,23433
,40860.0,62084.0,11574
,2730.0,29277.0,11242
,10256.0,83746.0,39124
,57887.0,88969.0,33945
,86082.0,24935.0,84436
,60613.0,85355.0,87763
,61190.0,33316.0,85118
,41721.0,42155.0,83302
,12615.0,98974.0,85185
,40341.0,64428.0,30224
,52885.0,91836.0,42989
,45404.0,8565.0,22875
,73485.0,12047.0,23100
,37437.0,13049.0,59287
,86948.0,75432.0,7779
,70661.0,2738.0,66862
,75735.0,52879.0,29343
,85524.0,32385.0,14203
,175.0,92897.0,52762
,12168.0,53629.0,54235
,48951.0,48559.0,75320
,39830.0,72291.0,31406
,20999.0,31988.0,29515
,74356.0,88173.0,52339
,6094.0,90650.0,64096
,57981.0,47183.0,4312
,98089.0,56611.0,99294
,1897.0,97055.0,29998
,23064.0,67977.0,33704
,36663.0,68585.0,90610
,57452.0,69831.0,47139
,932.0,61424.0,89433
,38917.0,36175.0,47520
,41558.0,68356.0,66792
,31762.0,94565.0,36247
,2407.0,8947.0,37388
,60833.0,18427.0,5448
,77767.0,41093.0,2537
,87734.0,34635.0,14393
,7113.0,22694.0,59992
,79153.0,90167.0,85043
,50058.0,98508.0,96135
,42330.0,5958.0,62183
,11360.0,73173.0,39026
,78435.0,87981.0,83012
,56221.0,29123.0,39420
,10665.0,82817.0,80185
,15575.0,52545.0,16663
,85234.0,77509.0,25919
,45794.0,62915.0,64284
,42866.0,23214.0,33856
,27987.0,82765.0,73214
,91703.0,94691.0,39946
,44852.0,6915.0,7664
,13954.0,59849.0,49995
,46096.0,40499.0,10006
,58798.0,15110.0,80743
,92536.0,98902.0,64930
,3018.0,17878.0,2926
,48021.0,46044.0,11646
,13747.0,86859.0,39363
,15501.0,10282.0,40663
,19726.0,46084.0,67711
,60397.0,66077.0,45654
,62879.0,91936.0,6253
,77812.0,51771.0,29994
,35291.0,33030.0,81174
,38396.0,91219.0,39115
,50059.0,46952.0,35275
,22768.0,81141.0,8519
,34872.0,60440.0,44985
,16261.0,10142.0,97826
,43025.0,43544.0,44208
,997.0,83029.0,27646
,71459.0,48706.0,23154
,41496.0,43242.0,8309
,74323.0,35924.0,83641
,43009.0,61226.0,22673
,61919.0,33900.0,60398
,57125.0,92756.0,44001
,10789.0,52020.0,52350
,93447.0,56587.0,43668
,26910.0,93354.0,9409
,20888.0,2698.0,70163
,57165.0,17350.0,27818
,34467.0,69201.0,20672
,66417.0,87408.0,17752
,20694.0,1661.0,58502
,76812.0,57526.0,4435
,68467.0,58852.0,2886
,38066.0,16420.0,86490
,99915.0,32617.0,69933
,95433.0,4764.0,62276
,81607.0,55968.0,60846
,2894.0,98744.0,82406
,87273.0,20710.0,28200
,28855.0,73374.0,7545
,19652.0,61141.0,46535
,61229.0,77943.0,22959
,66834.0,66337.0,26666
,4748.0,64230.0,63007
,11834.0,43419.0,29670
,39797.0,18772.0,91773
,60174.0,80578.0,34941
,19490.0,29427.0,84846
,80262.0,34509.0,77894
,13708.0,13079.0,91098
,14494.0,3236.0,86370
,30530.0,28936.0,81743
,77647.0,80209.0,3398
,23266.0,66429.0,6727
,99773.0,28262.0,78893
,96046.0,58648.0,88508
,2093.0,41049.0,30704
,45307.0,44194.0,85883
,67493.0,3868.0,24380
,48973.0,50505.0,79339
,18501.0,6115.0,63658
,10942.0,44147.0,86219
,34214.0,68603.0,83682
,43187.0,63557.0,13294
,52641.0,24193.0,10735
,84949.0,41735.0,50192
,21667.0,74570.0,75485
,82088.0,27290.0,85374
,70410.0,40596.0,75412
,7448.0,81375.0,48592
,21700.0,80028.0,44519
,77495.0,60746.0,12974
,53419.0,26901.0,41376
,14401.0,53099.0,7248
,71295.0,37294.0,29261
,65429.0,43510.0,8608
,24324.0,41450.0,11019
,37565.0,135.0,28647
,10941.0,67380.0,2046
,19331.0,77685.0,11949
,89574.0,47891.0,82564
,44890.0,86166.0,8837
,42309.0,65296.0,61880
,73972.0,46324.0,2701
,82849.0,82962.0,70248
,8158.0,6197.0,52967
,88591.0,68971.0,99576
,8659.0,52402.0,35205
,23972.0,69473.0,46213
,99209.0,27317.0,57758
,39436.0,12322.0,26923
,55639.0,54255.0,8565
,97479.0,77233.0,625
,41548.0,52335.0,42863
,7951.0,63197.0,20620
,1093.0,79577.0,74649
,85711.0,10064.0,73727
,9872.0,33909.0,6799
,127.0,82044.0,97522
,47663.0,94188.0,31727
,97634.0,20732.0,91073
,92691.0,45820.0,65487
,78414.0,86658.0,45880
,63603.0,13876.0,48526
,39477.0,46191.0,17503
,36568.0,34311.0,64655
,35478.0,86698.0,73561
,89725.0,11789.0,76263
,32654.0,52522.0,47797
,90985.0,90090.0,39908
,52816.0,33557.0,78305
,98077.0,80816.0,18044
,95188.0,81894.0,89622
,92473.0,36961.0,35762
,34050.0,58277.0,2463
,46267.0,80299.0,40361
,61106.0,48234.0,62141
,62330.0,21073.0,96868
,54316.0,86463.0,89787
,23412.0,6692.0,79982
,9913.0,55017.0,76391
,36064.0,96605.0,31905
,82522.0,38139.0,54852
,5357.0,22984.0,80770
,44496.0,83190.0,73694
,70862.0,86189.0,55330
,29041.0,32799.0,47390
,83763.0,7629.0,91767
,1148.0,6533.0,88578
,61502.0,40786.0,97652
,88073.0,4800.0,82663
,61345.0,41722.0,25756
,41085.0,69277.0,82623
,82481.0,60874.0,1831
,74227.0,36008.0,83532
,84077.0,56830.0,73256
,46884.0,84744.0,1302
,65950.0,10656.0,62719
,27640.0,14070.0,65444
,97624.0,51699.0,87412
,49153.0,91584.0,62688
,5468.0,2563.0,26148
,66553.0,66380.0,89233
,22717.0,30049.0,8166
,88859.0,48383.0,77228
,52594.0,78502.0,36542
,83557.0,1230.0,30103
,52463.0,6989.0,17116
,44086.0,42839.0,85850
,60631.0,66827.0,2321
,20120.0,86931.0,25888
,5135.0,59786.0,16547
,61749.0,99366.0,94370
,40099.0,57381.0,4130
,77801.0,71424.0,48042
,2690.0,47726.0,57689
,29048.0,94618.0,46261
,55223.0,23139.0,54972
,57582.0,74015.0,31524
,62237.0,38959.0,56823
,71166.0,13039.0,2802
,63845.0,29030.0,53471
,82445.0,86137.0,77115
,67278.0,61826.0,85891
